input,intent
¿Cuánto cuesta?,1
¿Puede rebajar un poco el precio?,1
¿Tiene algún descuento?,1
¿Tienes camisetas de mi talla?,1
¿Ofrecen servicio de envío a domicilio?,1
¿Tiene garantía este producto?,1
Quiero comprar ropa,1
¿Hay algún producto similar pero más económico?,1
¿Ofrecen algún paquete o promoción especial?,1
¿Hacen entregas internacionales?,1
Quiero una chaqueta,1
¿Vendeis calcetines?,1
¿Cuánto tiempo tarda en llegar el pedido,1
¿Puedo probarlo antes de comprarlo?,1
¿Hay zapatos rosas?,1
¿Puedo ver el catálogo completo de camisetas que ofrecen?,1
¿Puedo probarme este pantalón?,1
¿Cuánto tiempo tarda en llegar un pedido en línea?,1
¿Puedo obtener ayuda para combinar esta blusa/pantalón con otros artículos?,1
Me gustaría comprar,1
¿Hay algún requisito mínimo de compra?,2
¿Tienen algún catálogo que pueda revisar?,2
¿Podría proporcionarme más detalles sobre este producto?,2
¿Tienen algún catálogo que pueda revisar?,2
¿Cuáles son los métodos de pago aceptados?,2
¿Cuál es el tiempo de entrega estimado?,2
¿Puedo solicitar muestras de tela antes de realizar una compra grande?,2
¿Ofrecen servicio de envío internacional?,2
¿Hay algún requisito mínimo de compra?,2
¿Cuál es el proceso de devolución en caso de que necesite hacerlo?,2
¿Puedo obtener información sobre los cuidados de lavado para esta prenda?,2
¿Tienen disponibilidad de este artículo en tienda física?,2
¿Ofrecen envío gratuito para las camisetas?,2
¿Tienen camisetas con acabados especiales como tintes naturales o teñido anudado?,2
¿Cuál es la política de cambio si la camiseta no me queda bien?,2
¿Tienen camisetas de edición limitada/exclusiva?,2
¿Esta camiseta es oversize?,2
¿Cuál es el estilo de corte de esta camiseta?,2
¿Cuál es el proceso de cuidado recomendado para esta camiseta?,2
¿Tienen camisetas con bolsillos?,2
¿Cuánto tiempo tarda en llegar una camiseta personalizada?,2
¿Cuánto tiempo lleva su empresa en el negocio textil?,3
¿Pueden proporcionarme información sobre los proveedores de sus telas?,3
¿Cuál es la filosofía detrás de su marca de ropa?,3
¿Qué medidas toman para garantizar la sostenibilidad en su producción?,3
¿Tienen certificaciones de comercio justo o ecológicas?,3
¿Cuál es su enfoque en cuanto a la calidad de sus productos?,3
¿Cuál es su público objetivo principal?,3
¿Cómo seleccionan los diseños para sus colecciones?,3
¿Tienen algún programa de responsabilidad social corporativa?,3
¿Qué tipo de tecnología utilizan en el proceso de fabricación?,3
¿Cuál es su enfoque en cuanto a la calidad de sus productos?,3
¿Qué medidas implementan para asegurar condiciones laborales justas en sus fábricas?,3
¿Tienen políticas específicas en cuanto a la reducción de residuos y el reciclaje?,3
¿Tienen algún programa de capacitación para los empleados?,3
¿Cómo eligen a sus proveedores y fabricantes?,3
¿Cuál es su enfoque en cuanto al diseño ético y responsable?,3
¿Ofrecen oportunidades para el desarrollo profesional de sus empleados?,3
¿Cuál es su compromiso con la transparencia en la cadena de suministro?,3
¿Cómo se involucran con las comunidades locales donde operan?,3
¿Qué medidas toman para minimizar su impacto ambiental durante el proceso de producción?,3
¿Trabajan con proveedores nacionales o internacionales?,3
